Id_Secteur,Codeinsseecommune,Communesrelevantdusecteurderecrutement,Detailsecteurscolaire,Commune,college,Adressecollege,BPcollege,Cedexcollege,Codepostalcollege,Codeinseecommunecollege
"SECT_160","22258","QUESSOY","","MONCONTOUR","Collège ""François Lorant""","Le Bourgneuf","BP 14","","22510","22153"
"SECT_161","22332","SAINT-TRIMOEL","","MONCONTOUR","Collège ""François Lorant""","Le Bourgneuf","BP 14","","22510","22153"
"SECT_162","22345","TREBRY","","MONCONTOUR","Collège ""François Lorant""","Le Bourgneuf","BP 14","","22510","22153"
"SECT_163","22346","TREDANIEL","","MONCONTOUR","Collège ""François Lorant""","Le Bourgneuf","BP 14","","22510","22153"
"SECT_164","22033","CAUREL","","MUR-DE-BRETAGNE","Collège ""Paul Eluard""","1 rue des Ecoles","","","22530","22158"
"SECT_165","22149","MERLEAC","","MUR-DE-BRETAGNE","Collège ""Paul Eluard""","1 rue des Ecoles","","","22530","22158"
"SECT_166","22158","MUR-DE-BRETAGNE","","MUR-DE-BRETAGNE","Collège ""Paul Eluard""","1 rue des Ecoles","","","22530","22158"
"SECT_167","22260","QUILLIO (LE)","","MUR-DE-BRETAGNE","Collège ""Paul Eluard""","1 rue des Ecoles","","","22530","22158"
"SECT_168","56203","SAINT AIGNAN","","MUR-DE-BRETAGNE","Collège ""Paul Eluard""","1 rue des Ecoles","","","22530","22158"
"SECT_169","22285","SAINT-CONNEC","","MUR-DE-BRETAGNE","Collège ""Paul Eluard""","1 rue des Ecoles","","","22530","22158"
"SECT_17","22217","PLOUGRAS","","BELLE-ISLE-EN-TERRE","Collège "" Prat Eles ""","3 Prat Eles","B.P.1","","22810","22005"
