Id_Secteur,Codeinsseecommune,Communesrelevantdusecteurderecrutement,Detailsecteurscolaire,Commune,college,Adressecollege,BPcollege,Cedexcollege,Codepostalcollege,Codeinseecommunecollege
"SECT_390","22218","PLOUGRESCANT","","TREGUIER","Collège ""Ernest Renan""","Chemin de la Corderie","","","22220","22362"
"SECT_391","22221","PLOUGUIEL","","TREGUIER","Collège ""Ernest Renan""","Chemin de la Corderie","","","22220","22362"
"SECT_392","22253","POULDOURAN","","TREGUIER","Collège ""Ernest Renan""","Chemin de la Corderie","","","22220","22362"
"SECT_393","22257","QUEMPERVEN","","TREGUIER","Collège ""Ernest Renan""","Chemin de la Corderie","","","22220","22362"
"SECT_394","22264","ROCHE-DERRIEN (LA)","","TREGUIER","Collège ""Ernest Renan""","Chemin de la Corderie","","","22220","22362"
"SECT_395","22347","TREDARZEC","","TREGUIER","Collège ""Ernest Renan""","Chemin de la Corderie","","","22220","22362"
"SECT_396","22362","TREGUIER","","TREGUIER","Collège ""Ernest Renan""","Chemin de la Corderie","","","22220","22362"
"SECT_397","22383","TROGUERY","","TREGUIER","Collège ""Ernest Renan""","Chemin de la Corderie","","","22220","22362"
"SECT_4","22041","COATASCORN","","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
"SECT_40","22342","TREBEDAN","","BROONS","Collège ""Jean Monnet""","4 rue de Neufahrn","BP 2","","22250","22020"
"SECT_41","22348","TREDIAS","","BROONS","Collège ""Jean Monnet""","4 rue de Neufahrn","BP 2","","22250","22020"
"SECT_42","22369","TREMEUR","","BROONS","Collège ""Jean Monnet""","4 rue de Neufahrn","BP 2","","22250","22020"
"SECT_43","22391","YVIGNAC-LA-TOUR","","BROONS","Collège ""Jean Monnet""","4 rue de Neufahrn","BP 2","","22250","22020"
"SECT_44","22023","BULAT-PESTIVIEN","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_45","22024","CALANHEL","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_46","22025","CALLAC","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_47","22031","CARNOET","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_48","22037","CHAPELLE-NEUVE (LA)","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_49","22052","DUAULT","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_5","22091","KERMOROC'H","","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
"SECT_50","22128","LOCARN","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_51","22132","LOHUEC","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_52","22138","MAEL-PESTIVIEN","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_53","22231","PLOURAC'H","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_54","22243","PLUSQUELLEC","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_55","22320","SAINT-NICODEME","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_56","22328","SAINT-SERVAIS","","CALLAC","Collège ""Gwer Halou""","BP 68 - 16 rue Anatole Le Braz","","","22160","22025"
"SECT_57","22046","COLLINEE","","COLLINEE","Collège ""Victor Vasarely""","Rue André Gilles","BP 11","","22330","22046"
"SECT_58","22066","GOURAY (LE)","","COLLINEE","Collège ""Victor Vasarely""","Rue André Gilles","BP 11","","22330","22046"
"SECT_59","22102","LANGOURLA","","COLLINEE","Collège ""Victor Vasarely""","Rue André Gilles","BP 11","","22330","22046"
"SECT_6","22095","LANDEBAERON","","BEGARD","Collège ""François Clec'h""","20 avenue Pierre Perron","BP 6","","22140","22004"
"SECT_60","22292","SAINT-GILLES-DU-MENE","","COLLINEE","Collège ""Victor Vasarely""","Rue André Gilles","BP 11","","22330","22046"
"SECT_61","22297","SAINT-GOUENO","","COLLINEE","Collège ""Victor Vasarely""","Rue André Gilles","BP 11","","22330","22046"
"SECT_62","22303","SAINT-JACUT-DU-MENE","","COLLINEE","Collège ""Victor Vasarely""","Rue André Gilles","BP 11","","22330","22046"
"SECT_63","22047","CORLAY","","CORLAY","Collège ""Pier An Dall""","2 rue des Ecoles","","","22320","22047"
"SECT_64","22073","HARMOYE (LA)","","CORLAY","Collège ""Pier An Dall""","2 rue des Ecoles","","","22320","22047"
"SECT_65","22074","HAUT-CORLAY (LE)","","CORLAY","Collège ""Pier An Dall""","2 rue des Ecoles","","","22320","22047"
"SECT_66","22244","PLUSSULIEN","","CORLAY","Collège ""Pier An Dall""","2 rue des Ecoles","","","22320","22047"
"SECT_67","22313","SAINT-MARTIN-DES-PRES","","CORLAY","Collège ""Pier An Dall""","2 rue des Ecoles","","","22320","22047"
"SECT_68","22316","SAINT-MAYEUX","","CORLAY","Collège ""Pier An Dall""","2 rue des Ecoles","","","22320","22047"
"SECT_69","22003","AUCALEUC","","DINAN","Collège ""Broussais""","1 rue Broussais","BP 66","Cedex","22102","22050"
